id,index,resumes,intro
FE-001,1,Web前端工程师,"负责Web应用界面开发，使用HTML5/CSS3/JavaScript及React/Vue/Angular等框架，实现用户交互逻辑与视觉还原，优化页面性能与兼容性"
FE-002,2,移动端前端工程师,"专注于H5页面及混合应用开发，适配iOS/Android多平台，解决移动端兼容性、触摸交互、性能优化及离线缓存等问题"
FE-003,3,小程序开发工程师,"开发微信/支付宝/百度/鸿蒙等平台小程序，掌握各平台SDK与组件化开发，实现轻量级应用功能与Native能力调用"
FE-004,4,跨平台开发工程师,"使用Flutter/React Native/Uni-app等技术进行跨平台开发，实现一套代码多端运行，兼顾性能与开发效率"
FE-005,5,前端架构师,"负责前端技术选型、工程化建设、微前端架构设计、性能优化体系搭建，制定团队开发规范与代码标准"
FE-006,6,Node.js全栈工程师,"基于Node.js生态（Express/Nest.js/Egg.js）开发服务端应用，处理高并发请求，实现前后端同构渲染与BFF层"
BE-001,7,Java开发工程师,"使用Java语言及Spring生态（Spring Boot/Cloud）开发企业级后端服务，擅长微服务架构、分布式事务及高并发系统"
BE-002,8,Python开发工程师,"基于Python进行Web开发（Django/Flask/FastAPI）或数据服务开发，涉及爬虫、自动化脚本、AI模型部署等场景"
BE-003,9,Go开发工程师,"使用Go语言开发高性能后端服务，擅长云原生应用、微服务治理、中间件开发及高并发分布式系统"
BE-004,10,C++开发工程师,"开发高性能后端服务、游戏服务器、量化交易系统或分布式存储，注重内存管理、多线程优化及底层网络编程"
BE-005,11,PHP开发工程师,"使用PHP及Laravel/ThinkPHP等框架开发Web应用，擅长CMS、电商平台及快速原型开发，注重LAMP/LNMP优化"
BE-006,12,微服务架构师,"设计分布式系统架构，掌握Service Mesh、分布式事务、服务治理、容器编排，保障系统高可用与可扩展性"
MB-001,13,Android开发工程师,"使用Kotlin/Java开发Android原生应用，掌握Jetpack组件、性能优化、Android Studio及鸿蒙系统适配"
MB-002,14,iOS开发工程师,"使用Swift/Objective-C开发iOS应用，熟悉UIKit/SwiftUI、Xcode工具链、App Store发布流程及苹果生态集成"
MB-003,15,鸿蒙开发工程师,"基于ArkTS语言与HarmonyOS SDK开发鸿蒙原生应用，掌握鸿蒙分布式能力、原子化服务及多设备协同"
MB-004,16,移动游戏开发工程师,"使用Unity3D或Cocos2d-x开发手游客户端，涉及游戏逻辑、图形渲染、物理引擎、资源管理及热更新技术"
DA-001,17,大数据开发工程师,"基于Hadoop/Spark/Flink生态开发数据平台，擅长数据ETL、实时计算、离线数仓建设及海量数据处理"
DA-002,18,数据仓库工程师,"构建企业级数据仓库，设计维度建模，优化Hive/ClickHouse/Doris等OLAP引擎，支撑业务数据分析"
DA-003,19,机器学习工程师,"开发并部署机器学习模型，使用TensorFlow/PyTorch/Scikit-learn，涉及特征工程、模型训练、A/B测试及模型监控"
DA-004,20,深度学习工程师,"专注于深度学习算法研发，应用CNN/RNN/Transformer等网络结构，从事CV、NLP或推荐算法工程化落地"
DA-005,21,算法工程师（推荐/广告),"构建推荐系统、广告算法或搜索排序模型，掌握协同过滤、深度学习推荐、用户画像及实时特征计算"
DA-006,22,自然语言处理工程师,"研发NLP应用如文本分类、情感分析、对话系统、大模型微调（LLM），掌握BERT/GPT等预训练模型"
DA-007,23,计算机视觉工程师,"开发图像识别、目标检测、OCR、视频分析等CV应用，使用OpenCV及深度学习框架进行模型优化与部署"
DA-008,24,数据分析师,"通过SQL/Python进行数据提取与统计分析，制作BI报表（Tableau/PowerBI），输出业务洞察与决策支持"
DA-009,25,数据产品经理,"负责数据产品规划（BI工具、埋点系统、数据平台），协调数据需求，设计指标体系与数据可视化方案"
QA-001,26,测试工程师,"执行功能测试，编写测试用例，进行缺陷管理与质量评估，保障软件发布质量，熟悉敏捷测试流程"
